Rating,Jersey Number,Team,Position,Height,Weight,Salary,Country,Draft Year,Draft Round,Draft Pick,Age
76,0,Portland Trail Blazers,F-G,203,95.3,12200000,USA,2004,2,43,36
76,14,Orlando Magic,G,180,81.6,7250000,USA,2008,1,9,34
76,5,Dallas Mavericks,G,178,79.4,2564753,Puerto Rico,2006,2,60,37
76,0,,F,208,106.6,3500000,USA,2008,1,2,32
76,42,Washington Wizards,F,208,95.7,7000000,Latvia,2011,2,42,29
76,11,Los Angeles Lakers,G,191,88.5,6767000,USA,2010,1,19,31
76,0,Charlotte Hornets,F,198,102.1,3755400,USA,2018,1,12,23
76,13,Dallas Mavericks,G,185,86.2,1416852,USA,2018,2,33,25
76,1,Los Angeles Lakers,G,196,92.5,8089282,USA,2013,1,8,28
76,99,Miami Heat,F,198,106.6,7815533,USA,2012,2,34,31
76,0,Atlanta Hawks,C,213,108.4,13333334,USA,2013,2,60,32
76,0,Memphis Grizzlies,C,208,104.3,16229213,Senegal,2013,1,21,31
76,0,,F-G,198,87.1,2564753,USA,2005,1,18,35
76,34,Houston Rockets,F,203,106.6,3405180,USA,2007,1,5,35
76,5,Portland Trail Blazers,F,203,94.3,5718000,USA,2014,1,23,29
76,3,Atlanta Hawks,G,201,86.2,2636280,USA,2018,1,19,23
76,7,Milwaukee Bucks,F,206,106.6,7000000,Turkey,2005,2,36,34
76,1,Orlando Magic,F,211,93,5806440,USA,2017,1,6,24
76,20,Memphis Grizzlies,F,203,92.1,7059480,USA,2017,1,4,24
76,8,Phoenix Suns,F-C,213,104.8,4767000,USA,2015,1,9,28
76,0,Dallas Mavericks,F,198,105.2,12784359,USA,2012,1,2,28
76,20,New York Knicks,F,201,97.5,4380120,USA,2018,1,9,22
76,0,Miami Heat,C,213,111.1,11286515,USA,2012,1,11,29
76,9,Milwaukee Bucks,G,193,99.8,2564753,USA,2009,2,60,35
76,8,Utah Jazz,G,191,86.2,1737145,Democratic Republic of the Congo,2015,1,7,25
76,8,New Orleans Pelicans,C,208,122.5,1702486,USA,2015,1,3,26
76,6,New York Knicks,G,191,83.9,8000000,USA,2014,1,10,27
76,1,Denver Nuggets,F,208,97.5,3389400,USA,2018,1,14,23
76,25,Houston Rockets,G,191,90.7,2174310,USA,2012,1,10,29
76,21,Oklahoma City Thunder,G-F,201,93.4,10740740,USA,2013,1,26,30
76,9,Los Angeles Lakers,G,185,84.4,2564753,USA,2006,1,21,35
76,20,Los Angeles Clippers,G,193,81.6,1995120,USA,2018,1,26,24
76,27,Boston Celtics,C,203,97.5,5000000,Germany,2013,2,60,29
76,0,,G,175,83.9,2320044,USA,2011,2,60,32
76,11,Los Angeles Lakers,G,191,95.3,12475385,USA,2012,1,4,30
76,2,Milwaukee Bucks,F,203,108.9,14654179,USA,2005,1,2,35
76,55,Dallas Mavericks,G,196,82.1,9473684,USA,2015,1,20,29
76,0,Chicago Bulls,G,193,83.9,5307120,USA,2019,1,7,21
75,0,,C,216,113.4,5538540,Spain,2001,1,3,41
75,46,Phoenix Suns,C,208,117.9,5453280,Australia,2009,2,60,35
75,26,Sacramento Kings,G,193,88.5,19269663,USA,2012,2,60,32
75,18,San Antonio Spurs,G,196,90.7,5846154,Italy,2007,1,18,35
75,8,Charlotte Hornets,C,203,103.9,17000000,Democratic Republic of the Congo,2011,1,7,29
75,25,Phoenix Suns,F-G,198,94.8,4161000,USA,2018,1,10,25
75,21,Brooklyn Nets,F-G,203,102.1,2564753,USA,2007,1,23,34
75,21,New York Knicks,G,196,91.6,1618520,USA,2017,2,44,27
75,32,Chicago Bulls,G,191,93,5348007,USA,2016,1,5,27
75,2,New York Knicks,G,193,90.7,8000000,USA,2009,1,28,34
75,11,San Antonio Spurs,G,188,84.8,2875000,USA,2016,2,60,28
75,3,New Orleans Pelicans,G,196,92.5,1934160,USA,2017,1,30,26
75,31,Detroit Pistons,F,206,99.8,9732396,USA,2012,1,14,31
